Date,Shallot
2018-09-01,11000
2018-09-02,11000
2018-09-03,11000
2018-09-04,11000
2018-09-05,11000
2018-09-06,12000
2018-09-07,13000
2018-09-08,14000
2018-09-09,14000
2018-09-10,15000
2018-09-11,13000
2018-09-12,12000
2018-09-13,11000
2018-09-14,11000
2018-09-15,10500
2018-09-16,11000
2018-09-17,10000
2018-09-18,10000
2018-09-19,11000
2018-09-20,11000
2018-09-21,10000
2018-09-22,11000
2018-09-23,10000
2018-09-24,11000
2018-09-25,11000
2018-09-26,9500
2018-09-27,10000
2018-09-28,9000
2018-09-29,9000
2018-09-30,9000
2018-10-01,9500
2018-10-02,9500
2018-10-03,10000
2018-10-04,10000
2018-10-05,10000
2018-10-06,10500
2018-10-07,11000
2018-10-08,10000
2018-10-09,11000
2018-10-10,15000
2018-10-11,14000
2018-10-12,13000
2018-10-13,13000
2018-10-14,14000
2018-10-15,14000
2018-10-16,15000
2018-10-17,14000
2018-10-18,14000
2018-10-19,15000
2018-10-20,13500
2018-10-21,14000
2018-10-22,15500
2018-10-23,15000
2018-10-24,14000
2018-10-25,15000
2018-10-26,16000
2018-10-27,15000
2018-10-28,17000
2018-10-29,17000
2018-10-30,17000
2018-10-31,17000
2018-11-01,16000
2018-11-02,17000
2018-11-03,18000
2018-11-04,17000
2018-11-05,16000
2018-11-06,18000
2018-11-07,18000
2018-11-08,20000
2018-11-09,18000
2018-11-10,19000
2018-11-11,19000
2018-11-12,20000
2018-11-13,19000
2018-11-14,18000
2018-11-15,19000
2018-11-16,18000
2018-11-17,19000
2018-11-18,19000
2018-11-19,18000
2018-11-20,18000
2018-11-21,20000
2018-11-22,18500
2018-11-23,18000
2018-11-24,19000
2018-11-25,20000
2018-11-26,20000
2018-11-27,20000
2018-11-28,18500
2018-11-29,19000
2018-11-30,18000
2018-12-01,18000
2018-12-02,18000
2018-12-03,19000
2018-12-04,18500
2018-12-05,17000
2018-12-06,19000
2018-12-07,19000
2018-12-08,19000
2018-12-09,20000
2018-12-10,18000
2018-12-11,19000
2018-12-12,18000
2018-12-13,19000
2018-12-14,19000
2018-12-15,19000
2018-12-16,20000
2018-12-17,21000
2018-12-18,20000
2018-12-19,17000
2018-12-20,18000
2018-12-21,19000
2018-12-22,18000
2018-12-23,19000
2018-12-24,19000
2018-12-25,20000
2018-12-26,22000
2018-12-27,23000
2018-12-28,22000
2018-12-29,21000
2018-12-30,20000
2018-12-31,21000
2019-01-01,23000
2019-01-02,24000
2019-01-03,22000
2019-01-04,22000
2019-01-05,21000
2019-01-06,20000
2019-01-07,20000
2019-01-08,19000
2019-01-09,19000
2019-01-10,18000
2019-01-11,17000
2019-01-12,17000
2019-01-13,16000
2019-01-14,17000
2019-01-15,17500
2019-01-16,18000
2019-01-17,18000
2019-01-18,18000
2019-01-19,16000
2019-01-20,14000
2019-01-21,12000
2019-01-22,13000
2019-01-23,14000
2019-01-24,13000
2019-01-25,13000
2019-01-26,12000
2019-01-27,12000
2019-01-28,11000
2019-01-29,10000
2019-01-30,11000
2019-01-31,12000
2019-02-01,13000
2019-02-02,11000
2019-02-03,10000
2019-02-04,10000
2019-02-05,12000
2019-02-06,11000
2019-02-07,12000
2019-02-08,12000
2019-02-09,13000
2019-02-10,13000
2019-02-11,12000
2019-02-12,12000
2019-02-13,13000
2019-02-14,12000
2019-02-15,13000
2019-02-16,12000
2019-02-17,13000
2019-02-18,14000
2019-02-19,14000
2019-02-20,14000
2019-02-21,16000
2019-02-22,16000
2019-02-23,16000
2019-02-24,18000
2019-02-25,18000
2019-02-26,19000
2019-02-27,19000
2019-02-28,20000
2019-03-01,20000
2019-03-02,20000
2019-03-03,21000
2019-03-04,21000
2019-03-05,21000
2019-03-06,20000
